GeneID,GeneName
23743,BHMT2
10198,MPP9
51367,POP5
145942,TMC5A
7162,TPBG
2574,GAG2B
114609,TIRAP
166378,AFG2A
78996,CYREN
11132,CAN10
255877,BCL6B
11190,CP250
9843,HEPH
84623,KIRR3
7299,TYRO
84063,KIRR2
84879,NLS1
79158,GNPTA
51126,NAA20
2865,FFAR3
340390,WDR97
284532,O14AG
3651,PDX1
55054,A16L1
5142,PDE4B
84171,LOXL4
5817,PVR
11052,CPSF6
353333,KR10A
79624,ARMT1
148213,ZN681
126129,CPT1C
5985,RFC5
27042,UTP25
64745,MET17
1000,CADH2
53840,TRI34
55345,ZGRF1
84236,RHBL4
57669,E41L5
161497,STRC
147912,SIX5
8915,BCL10
81847,RN146
9464,HAND2
8669,EIF3J
29899,GPSM2
57504,MTA3
56940,DUS22
64284,RAB17
7404,UTY
121053,NOPC1
168667,BMPER
7957,EPM2A
6950,TCPA
84539,MCHR2
26038,CHD5
196500,PIANP
92,AVR2A
119749,O4C46
55061,SUSD4
157680,VP13B
129880,BBS5
196740,VSTM4
65217,PCD15
25904,CNO10
7023,TFAP4
9739,SET1A
63950,DMTA2
124602,KIF19
4710,NDUB4
343637,RSPO4
54805,CNNM2
91404,SESD1
9686,VGLL4
79183,TTPAL
51104,AB17B
10462,CLC10
11146,GLMN
6856,SYPL1
79018,GID4
50628,GEMI4
53343,NUDT9
54967,CT55
27072,VPS41
1896,EDA
56889,TM9S3
3557,IL1RA
9465,AKA7A
869,CBLN1
79844,ZDH11
5996,RGS1
7851,MALL
84134,TM40L
130813,CB050
91768,CABL1
4604,MYPC1
26496,O10A3
6258,RXRG
8331,H2A1J
81850,KRA13
339,ABEC1
147920,IGFL2
1638,TYRP2
64928,RM14
9265,CYH3
100129543,ZN730
130399,ACV1C
23499,MACF1
5922,RASA2
391123,VSIG8
22987,SV2C
1601,DAB2
54872,PIGG
635,BHMT1
22853,LMTK2
326624,RAB37
91522,CONA1
1787,TRDMT
5718,PSD12
22941,SHAN2
10877,FHR4
6820,ST2B1
5155,PDGFB
4185,ADA11
6932,TCF7
64779,MTHSD
7360,UGPA
64762,GARE1
27231,NRK2
56751,BARH1
55114,RHG17
327657,SPA9
23532,PRAME
10083,USH1C
10677,AVIL
8576,STK16
26548,ITBP2
196264,MPZL3
2969,GTF2I
92235,STYL2
6132,RL8
9014,TAF1B
8822,FGF17
1301,COBA1
197407,ZNF48
5871,M4K2
92154,MTSS2
6726,SRP09
80179,MYO19
2919,GROA
9318,CSN2
220388,CCD89
1756,DMD
8702,B4GT4
85395,SLX9
1605,DAG1
339145,CBAR2
143279,HECD2
5998,RGS3
5675,PSG6
644168,DRGX
79712,QTMAN
79641,ROGDI
80063,MCAF2
2139,EYA2
117531,TMC1
115584,SC5AB
11128,RPC1
115939,TSR3
6717,SORCN
337963,KR231
79780,CCD82
8840,CCN4
79628,S3TC2
147,ADA1B
288,ANK3
89778,SPB11
25949,SYF2
27288,RMXL2
100130613,PRR32
201161,CENPV
10022,INSL5
377630,U17L2
148398,SAM11
53905,DUOX1
79973,ZN442
84957,TR19L
388341,LR75A
79692,ZN322
5717,PSD11
4837,NNMT
25822,DNJB5
5822,PWP2
2259,FGF14
112479,ERI2
8800,PX11A
10257,MRP4
136288,CG057
440603,B2L15
27123,DKK2
5524,PTPA
1302,COBA2
147949,ZN583
10144,FA13A
23596,OPN3
23059,CLUA1
55083,KI26B
57703,CWC22
154313,CF206
55742,PARVA
9853,RUSC2
425054,VCX3B
64693,CTGE2
83723,TLC3B
6406,SEMG1
5371,PML
100526767,CHMP3
6651,SON
203,KAD1
123722,FSD2
51547,SIR7
11015,ERD23
5738,FPRP
3762,KCNJ5
222826,F217A
26094,DCAF4
1602,DACH1
9182,RASF9
170394,PWP2B
51608,GET4
55806,HAIR
144100,PKHA7
5350,PPLA
81553,CYRIA
27018,BEX3
10011,SRA1
646480,FABP9
400757,CA141
9988,DMTF1
79568,MAIP1
79671,NLRX1
51552,RAB14
5495,PPM1B
312,ANX13
2521,FUS
80108,ZFP2
127062,OR2M3
126123,IZUM2
4772,NFAC1
6003,RGS13
3373,HYAL1
100131902,KR251
6387,SDF1
1389,CRBL2
154150,HDGL1
670,PARG
83849,SYT15
26503,S17A5
4192,MK
57463,AMGO1
5870,RAB6A
414062,CL3L1
23033,DOP1A
727910,TLCD2
4107,MAGA8
130075,OR9A4
6715,S5A1
364,AQP7
9778,K0232
2267,FGL1
130367,SGPP2
7253,TSHR
81537,SGPP1
5983,RFC3
8706,B3GL1
2678,GGT1
25880,TM186
4436,MSH2
85366,MYLK2
26073,PDIP2
984,CD11B
23404,EXOS2
7978,MTEF1
2359,FPR3
51123,ZN706
157574,FBX16
348235,SKA2
340485,ACER2
7564,ZNF16
9522,SCAM1
25807,RHBD3
83452,RB33B
4800,NFYA
386683,KR123
5325,PLAL1
79968,WDR76
594,ODBB
283385,MORN3
26050,SLIK5
1393,CRHBP
57493,HEG1
26013,LMBL1
8013,NR4A3
23779,RHG08
57835,S4A5
493869,GPX8
100526694,TEFF1
10668,CGRF1
57818,G6PC2
27254,CSDC2
29118,DDX25
9156,EXO1
83891,SNX25
339501,PRS38
8455,ATRN
9971,NR1H4
147948,ZN582
161394,SAM15
92106,OXND1
5414,SEPT4
84636,GP174
81392,O2AE1
256076,CO6A5
246777,SPESP
7101,NR2E1
3631,INP4A
51561,IL23A
9562,MINP1
79649,MA7D3
165721,DNJB8
64748,PLPR2
1258,CNGB1
51005,NAGA
7673,ZN222
64943,NT5D2
51660,MPC1
3203,HXA6
127795,CA087
1674,DESM
5100,PCDH8
259240,WFDC9
7850,IL1R2
4130,MAP1A
255520,ELMD2
3742,KCNA6
2034,EPAS1
3149,HMGB3
117156,SG3A2
3036,HYAS1
79820,CTSRB
84987,COX14
55125,CE192
375035,SFT2B
6910,TBX5
122769,LLR1
4929,NR4A2
3590,I11RA
5395,PMS2
85479,DNJ5B
149428,BNIPL
460,ASTN1
84313,VPS25
140628,GATA5
81309,OR4CF
10732,TCFL5
132112,RTP1
80020,FXRD2
2689,SOM2
55816,DOK5
2192,FBLN1
9469,CHST3
116443,NMD3A
58509,CATIN
4643,MYO1E
23318,TUT4
2260,FGFR1
92283,ZN461
10518,CIB2
84435,AGRA1
57619,SHRM3
8833,GUAA
54769,DIRA2
11186,RASF1
10203,CALRL
251,PPBN
51702,PADI3
5252,PHF1
401145,CCSE1
27250,PDCD4
9043,JIP4
55435,AP1AR
168391,GLTL5
7587,ZN37A
5783,PTN13
375791,CRTP1
6619,SNPC3
143425,SYT9
65993,RT34
57135,DAZ4
54329,GPR85
153769,SH3R2
201299,RDM1
375318,AQ12A
353091,ULBP5
1240,CML1
286464,CFA47
3960,LEG4
266977,AGRF1
115004,CGAS
30816,SYCY1
8689,KRT36
94005,PIGS
10548,TM9S1
9982,FGFP1
220108,F124A
255394,T11L2
60481,ELOV5
444,ASPH
27198,HCAR1
25970,SH2B1
26272,FBX4
9381,OTOF
115106,HAUS1
9134,CCNE2
28955,DEXI
89870,TRI15
2264,FGFR4
353332,KR121
30834,RPA12
1419,CRGB
145376,PPR36
50863,NTRI
8701,DYH11
1513,CATK
11216,AKA10
9166,RCAS1
27106,ARRD2
93517,D42E1
113026,PLCD3
11149,POPD1
89885,FATE1
57716,PRAX
4134,MAP4
259307,OXLA
2243,FIBA
55328,RNLS
26525,I36RA
201725,CD046
164312,LRRN4
926,CD8B
51361,HOOK1
10755,GIPC1
54537,SHLD2
10466,COG5
23057,NMNA2
23474,ETHE1
7216,TROP
90134,KCNH7
161779,PGBD4
10087,CERT
3211,HXB1
7020,AP2A
375686,SPERI
55038,CDCA4
551,NEU2
786,CCG1
51097,SCPDL
51380,CSAD
4839,NOP2
5940,RBY1A
55971,BI2L1
157855,KCNU1
5224,PGAM2
55890,GPC5C
339390,CLC4G
80333,KCIP4
94,ACVL1
55027,HEAT3
401720,FIGL2
6288,SAA1
58496,LY65B
200558,APLF
730087,ZN726
2046,EPHA8
390243,JUNO
9721,GRIN2
631,BFSP1
30819,KCIP2
254228,CAHM5
6261,RYR1
374955,SPT21
389257,LR14B
572,BAD
7783,ZP2
5306,PIPNA
375611,S26A5
115350,FCRL1
79664,ICE2
100129271,KPLCE
4137,TAU
27159,CHIA
55761,TTC17
6526,SC5A3
9923,ZBT40
9185,REPS2
30846,EHD2
6936,GCFC2
10785,WDR4
23547,LIRA4
280,AMY2B
144348,ZN664
126272,EID2B
56913,C1GLT
53944,KC1G1
81556,INT14
5511,PP1R8
9077,DIRA3
10205,MPZL2
285672,SR1IP
23108,RPGP2
57084,VGLU2
7073,TIAR
112950,MED8
63910,S17A9
10544,EPCR
84218,TBC3F
5990,RFX2
341152,O2AT4
89839,RHGBB
276,AMY1B
51703,ACSL5
284348,LYPD5
55132,LAR1B
79760,GEMI7
55170,ANM6
261729,STEA2
5139,PDE3A
79053,ALG8
133015,PACRL
8636,SSNA1
9781,R144A
9734,HDAC9
8728,ADA19
7301,TYRO3
121551,ABTB3
6757,SSX2
7922,S39A7
1981,IF4G1
4099,MAG
55422,ZN331
5332,PLCB4
6604,SMRD3
388581,ADIPL
57721,MET14
3486,IBP3
10393,APC10
54476,RN216
116028,RMI2
595,CCND1
57228,SMAGP
377841,ENTP8
374897,SBSN
7442,TRPV1
10747,MASP2
23090,ZN423
5443,COLI
27000,DNJC2
2247,FGF2
5542,PRP1
26054,SENP6
9325,TRIP4
90070,LACRT
127703,CA216
2863,GPR39
5913,RAPSN
10398,MYL9
6334,SCN8A
79912,PYRD1
7140,TNNT3
124801,LSM12
8501,LAT3
252884,ZN396
90203,SNX21
83637,ZMIZ2
84892,PMGT2
9421,HAND1
166348,KBTBC
55898,UN45A
56975,FA20C
317749,DR4L2
2491,CENPI
8651,SOCS1
84545,RM43
7775,ZN232
905,CCNT2
253827,MSRB3
64766,S1PBP
81502,HM13
2585,GALK2
53349,ZFYV1
64847,SPT20
388324,INCA1
51540,SCLY
51004,COQ6
1965,IF2A
728318,KRA91
90624,LYRM7
57144,PAK5
114112,TRXR3
3736,KCNA1
57541,ZN398
26333,OR7AH
57537,SORC2
283989,SEN54
9552,SPAG7
57561,ARRD3
55322,CE022
387332,TBPL2
65989,DLK2
343071,PRA10
7112,LAP2A
84871,CBPC6
129446,XIRP2
8704,B4GT2
158131,OR1Q1
442867,VCY2
6895,TRBP2
56125,PCDBB
400961,PAI2B
403253,O4A47
122042,RXFP2
10599,SO1B1
11043,TRIM1
56311,ANKR7
123355,LRC28
146456,TMED6
10107,TRI10
55750,AGK
170302,ARX
92359,CRUM3
51046,SIA8C
339345,NANO2
27327,TNR6A
23764,MAFF
55789,DEP1B
7414,VINC
388536,ZN790
55553,SOX6
712,C1QA
388523,ZN728
7001,PRDX2
4496,MT1H
5031,P2RY6
65983,GRM2B
6854,SYN2
10666,CD226
254272,TBC28
5153,PDE1B
931,CD20
10166,ORNT1
339983,NAT8L
1828,DSG1
83897,KRA32
9047,SH22A
113451,AZIN2
122046,TEX26
399665,EEIG1
3098,HXK1
54869,ES8L1
6648,SODM
5982,RFC2
56624,ASAH2
5456,PO3F4
493856,CISD2
84542,SANBR
161725,OTU7A
64754,SMYD3
163071,ZN114
283208,P4HA3
137492,VP37A
9839,ZEB2
128338,DRAM2
5360,PLTP
7840,ALMS1
9645,MICA2
8321,FZD1
27133,KCNH5
7134,TNNC1
92181,UBTD2
3418,IDHP
400966,RGPD1
51339,DACT1
448834,KPRP
10010,TANK
56100,PCDGI
6857,SYT1
151242,PPR1C
4221,MEN1
135114,HINT3
51334,LARGN
57616,TSH3
57213,SPRY7
81624,DIAP3
163747,CMAP2
6049,RNF6
100302736,TCAM2
7627,ZN75A
8087,FXR1
79101,TAF1D
5745,PTH1R
202865,CG033
51741,WWOX
6569,NPT2A
80185,TTI2
727800,RN208
285971,ZN775
4915,NTRK2
761,CAH3
92092,ZCCHL
170961,ANR24
5510,PP1R7
284001,CCD57
57187,THOC2
54756,I17RD
411,ARSB
9141,PDCD5
9620,CELR1
8532,CBPZ
27246,RN115
8220,ESS2
285753,CE57L
9329,TF3C4
2064,ERBB2
84269,CHCH5
1182,CLCN3
80218,NAA50
4361,MRE11
8874,ARHG7
7169,TPM2
8996,NOL3
8910,SGCE
113622,ARHL1
2224,FPPS
2752,GLNA
27130,INVS
11187,PKP3
641372,ACOT6
152137,CCD50
116841,SNP47
9633,MTL5
55030,FBX34
129049,SGSM1
149111,CNIH3
79852,EPHX3
1499,CTNB1
203111,ERIC5
93190,CF107
63932,STEEP
341567,H1FNT
340596,LHPL1
162387,MFS6L
6496,SIX3
51208,CLD18
146050,ZSC29
8626,P63
728492,SERF1
57663,UBP29
1485,CTG1B
10626,TRI16
6512,EAA5
55362,CSCL2
654429,LRTM2
8395,PI51B
284427,S2541
4853,NOTC2
26515,T10B
3728,PLAK
11036,TF2AY
9289,AGRG1
83597,RTP3
2908,GCR
23161,SNX13
133418,EMB
348807,CP100
163786,SAS6
160851,DGKH
3694,ITB6
29766,TMOD3
25840,TMT1A
57798,GATD1
4010,LMX1B
9520,PSA
55282,LRC36
3300,DNJB2
